axis,x,status,Voc_V_solarlab,Jsc_mA_cm2_solarlab,FF_percent_solarlab,PCE_percent_solarlab,voc_bracketed,x_round,PCE_percent_scaps,Voc_V_scaps,FF_percent_scaps,Jsc_mA_cm2_scaps
cbo_delta_ec_eV,-1.0,ok,1.0017792221260562,26.275654281897907,71.00160255542909,18.689329031357232,True,-1.0,5.8685,0.332353,67.1265,26.30453758
cbo_delta_ec_eV,-0.5,ok,1.001989573741671,26.290021228020414,73.50182715613846,19.362091780931678,True,-0.5,18.0802,0.83085,82.791,26.28440831
cbo_delta_ec_eV,-0.25,ok,1.002052568185628,26.290338546113418,74.62927842854096,19.660561936336123,True,-0.25,24.4188,1.080493,85.9878,26.28239324
cbo_delta_ec_eV,-0.16,ok,1.002040119482067,26.290380107123536,74.67868031225153,19.67336320908556,True,-0.16,26.6926,1.16755,86.9876,26.28199376
cbo_delta_ec_eV,-0.05,ok,1.002042725283337,26.290417540371003,74.69863595353216,19.67869951975896,True,-0.05,29.1364,1.240043,89.4021,26.28156065
cbo_delta_ec_eV,0.0,ok,1.0020545413355622,26.29042727879869,74.69914391683665,19.679072679801454,True,0.0,29.6512,1.247696,90.424,26.28148444
cbo_delta_ec_eV,0.1,ok,1.0020570520888847,26.290436625949873,74.70096213793362,19.679607985971703,True,0.1,29.8159,1.250391,90.7313,26.28116069
cbo_delta_ec_eV,0.2,ok,1.0020469902569518,26.290440788194836,74.70301841600352,19.67995520633265,True,0.2,29.8035,1.250158,90.7096,26.28140832
cbo_delta_ec_eV,0.3,ok,1.002047041021007,26.290443122395537,74.70385298902097,19.680177812705757,True,0.3,29.7103,1.249937,90.4411,26.28168179
cbo_delta_ec_eV,0.4,ok,1.0020974791357395,26.29044457395749,74.70050446468932,19.680287314181577,True,0.4,21.3846,1.248839,65.1522,26.28238752
cbo_delta_ec_eV,0.5,ok,1.0023414906175432,26.29044546025637,74.68188578933929,19.680173748278836,True,0.5,0.7158,1.228325,23.7528,2.45338907
cbo_delta_ec_eV,0.7,ok,1.005588559808471,26.290440795575044,74.38334079514871,19.66499641824411,True,0.7,,,,
