N_d,V_oc,J_sc,voc_bracketed,physical,V_oc_scaps,error
10000000000.0,0.0,332.5089323074062,False,False,1.100196,
100000000000.0,0.0,332.59921620775646,False,False,1.12464,
1000000000000.0,0.0,332.69766501608973,False,False,1.132448,
10000000000000.0,1.3783498408361847,332.80417400147877,True,True,1.137615,
100000000000000.0,0.0,0.0,False,False,1.141248,ValueError: array must not contain infs or NaNs
1000000000000000.0,1.0702078841687426,333.04360330130754,True,True,1.143994,
1e+16,1.0659680427761486,333.20353668445836,True,True,1.14637,
1e+17,1.066080585408765,333.6008629203985,True,True,1.151017,
1e+18,1.0711899457543457,334.0247098305038,True,True,1.16755,
1e+19,1.0802982038457638,334.2726051080504,True,True,1.202403,
1e+20,1.084537408423379,334.4446482665672,True,True,1.237259,
