variant,N_t,V_oc,voc_bracketed,V_oc_scaps
baseline_1e12,1000000000.0,1.0717506487948316,True,1.167649
baseline_1e12,10000000000.0,1.0717506396958922,True,1.167648
baseline_1e12,100000000000.0,1.0717505137926586,True,1.167639
baseline_1e12,1000000000000.0,1.0717505713018716,True,1.16755
baseline_1e12,10000000000000.0,1.071749947985028,True,1.166683
baseline_1e12,100000000000000.0,1.071743716591135,True,1.159563
baseline_1e12,1000000000000000.0,1.0716814819803508,True,1.129075
lo_1e10,1000000000.0,1.0872570647628699,True,1.167649
lo_1e10,10000000000.0,1.0872570638269343,True,1.167648
lo_1e10,100000000000.0,1.0872570545243172,True,1.167639
lo_1e10,1000000000000.0,1.087256845199836,True,1.16755
lo_1e10,10000000000000.0,1.0872560342209439,True,1.166683
lo_1e10,100000000000000.0,1.0872467449575753,True,1.159563
lo_1e10,1000000000000000.0,1.087153860063804,True,1.129075
lo_1e8,1000000000.0,1.087436462873211,True,1.167649
lo_1e8,10000000000.0,1.087436461943738,True,1.167648
lo_1e8,100000000000.0,1.0874364508496377,True,1.167639
lo_1e8,1000000000000.0,1.087436359224856,True,1.16755
lo_1e8,10000000000000.0,1.0874354043997658,True,1.166683
lo_1e8,100000000000000.0,1.0874260855941746,True,1.159563
lo_1e8,1000000000000000.0,1.0873328322368687,True,1.129075
